,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
390,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,86.0,8.2,3943.0,"Kojima Productions, Moby Dick Studio",M
396,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,86.0,6.8,1319.0,Ubisoft Quebec,M
406,Monster Hunter X,3DS,2015.0,Action,Capcom,0.27,0.21,2.79,0.05,3.32,,,,,,
413,Gears of War: Ultimate Edition,XOne,2015.0,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,82.0,74.0,7.5,563.0,"Splash Damage, The Coalition",M
417,FIFA 16,XOne,2015.0,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,45.0,4.4,459.0,EA Sports,E
420,Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.34,0.3,0.0,0.6,3.24,83.0,37.0,5.9,180.0,EA Sports,E
424,Super Mario Maker,WiiU,2015.0,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88.0,85.0,8.7,691.0,Nintendo,E
457,Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66.0,60.0,6.9,106.0,Nintendo,E
539,Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0.0,0.48,2.78,83.0,81.0,7.7,836.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
552,FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.41,1.84,0.05,0.4,2.71,,,3.2,58.0,EA Sports,E
623,Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,100.0,8.6,6383.0,From Software,M
639,Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,,,,,,
641,Madden NFL 16,XOne,2015.0,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,84.0,23.0,6.1,124.0,EA Sports,E
677,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,82.0,9,478.0,GREZZO,E10+
680,NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34,86.0,14.0,6.2,115.0,Visual Concepts,E10+
694,Yokai Watch Busters,3DS,2015.0,Action,Level 5,0.0,0.0,2.29,0.0,2.29,,,,,,
733,Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73.0,40.0,7.3,480.0,Ubisoft Montreal,M
790,Battlefield: Hardline,PS4,2015.0,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73.0,46.0,5,845.0,Visceral Games,M
797,Dying Light,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.0,58.0,7.9,1287.0,Techland,M
895,Destiny: The Taken King,PS4,2015.0,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86.0,81.0,6,1079.0,Bungie,T
938,Just Cause 3,PS4,2015.0,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73.0,42.0,6.5,403.0,Avalanche Studios,M
975,Forza Motorsport 6,XOne,2015.0,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87.0,85.0,7.9,863.0,Turn 10,E
1012,The Elder Scrolls Online,PS4,2015.0,Role-Playing,Bethesda Softworks,0.67,0.79,0.0,0.29,1.75,,,,,,
1026,The Order: 1886,PS4,2015.0,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,94.0,6.6,3172.0,"Ready at Dawn, SCE Santa Monica",M
1049,Call of Duty: Black Ops 3,X360,2015.0,Shooter,Activision,1.14,0.4,0.0,0.16,1.71,,,,,,
1062,Call of Duty: Black Ops 3,PS3,2015.0,Shooter,Activision,0.49,0.87,0.07,0.26,1.69,,,,,,
1079, Fire Emblem Fates,3DS,2015.0,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,,,,,,
1097,Until Dawn,PS4,2015.0,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,103.0,8.2,2161.0,SuperMassive Games,M
1174,Mario Party 10,WiiU,2015.0,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66.0,66.0,6.5,279.0,"Nintendo, Nd Cube",E
1182,FIFA 16,X360,2015.0,Sports,Electronic Arts,0.57,0.88,0.0,0.12,1.57,,,2.9,45.0,EA Sports,E
1274,Batman: Arkham Knight,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,16.0,6.6,694.0,Rocksteady Studios,M
1401,Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,86.0,21.0,7.3,279.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
1403,Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,102.0,8,1288.0,Crystal Dynamics,M
1455,Tom Clancy's Rainbow Six: Siege,XOne,2015.0,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,Ubisoft Montreal,M
1499,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,CD Projekt Red Studio,M
1509,Yoshi's Woolly World,WiiU,2015.0,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,Good-Feel,E
1515,Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M
1529,Dying Light,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,Techland,M
1530,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M
1536,The Elder Scrolls Online,XOne,2015.0,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,ZeniMax Media,M
1596,Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69.0,44.0,8.8,190.0,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E
1658,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21,73.0,47.0,7.4,237.0,Yuke's,T
1666,Battlefield: Hardline,XOne,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71.0,27.0,5.1,299.0,Visceral Games,M
1694,Destiny: The Taken King,XOne,2015.0,Shooter,Activision,0.85,0.23,0.0,0.12,1.19,89.0,11.0,5.2,393.0,"Bungie Software, Bungie",T
1726,Mad Max (2015),PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,0.18,1.17,,,,,,
1730,Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0,Rockstar North,M
1817,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73.0,73.0,7.6,179.0,Nintendo,E
1848,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69.0,50.0,7.7,598.0,Dimps Corporation,T
1880,Project CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83.0,37.0,6.6,363.0,Slightly Mad Studios,E
2097,Final Fantasy Type-0,PS4,2015.0,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98,,,,,,
2114,Madden NFL 16,X360,2015.0,Sports,Electronic Arts,0.85,0.02,0.0,0.1,0.97,,,5.1,12.0,EA Sports,E
2137,Evolve,PS4,2015.0,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76.0,46.0,4.3,894.0,Turtle Rock Studios,M
2179,Just Dance 2016,Wii,2015.0,Misc,Ubisoft,0.41,0.46,0.0,0.08,0.95,,,tbd,,Ubisoft,E10+
2183,NBA 2K16,X360,2015.0,Sports,Take-Two Interactive,0.79,0.05,0.0,0.1,0.94,,,3.2,24.0,Visual Concepts,E
2247,MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,44.0,7.8,190.0,SCEA San Diego Studios,E
2291,Just Cause 3,XOne,2015.0,Action,Square Enix,0.44,0.39,0.0,0.08,0.9,71.0,24.0,7,186.0,Avalanche Studios,M
2301,LEGO Jurassic World,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70.0,46.0,7,80.0,TT Games,E10+
2360,Minecraft: Story Mode,X360,2015.0,Adventure,Mojang,0.48,0.33,0.0,0.08,0.88,,,,,,
2375,Borderlands: The Handsome Collection,PS4,2015.0,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82.0,49.0,7.8,345.0,Gearbox Software,M
2387,Monster Strike 3DS,3DS,2015.0,Action,"mixi, Inc",0.0,0.0,0.87,0.0,0.87,,,,,,
2402,LEGO Jurassic World,X360,2015.0,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0.0,0.08,0.87,,,7.1,14.0,TT Games,E10+
2414,Dragon Quest VIII: Journey of the Cursed King,3DS,2015.0,Role-Playing,Square Enix,0.0,0.0,0.86,0.0,0.86,,,,,Cygames,T
2416,Guitar Hero Live,PS4,2015.0,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,69.0,6.2,160.0,FreeStyleGames,T
2435,LEGO Jurassic World,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.35,0.36,0.0,0.14,0.85,,,7.4,14.0,TT Games,E10+
2457,Xenoblade Chronicles X,WiiU,2015.0,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,87.0,8.9,1548.0,Monolith Soft,T
2600,Pro Evolution Soccer 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87.0,54.0,7.1,680.0,Konami,E
2603,Rare Replay,XOne,2015.0,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79,84.0,75.0,7.7,325.0,Rare Ltd.,M
2626,Madden NFL 16,PS3,2015.0,Sports,Electronic Arts,0.57,0.06,0.0,0.14,0.78,,,3.1,18.0,EA Sports,E
2710,Mario & Luigi: Paper Jam,3DS,2015.0,Role-Playing,Nintendo,0.16,0.29,0.26,0.04,0.76,,,,,,
2717,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015.0,Misc,Nintendo,0.03,0.66,0.02,0.04,0.75,,,,,,
2720,Metal Gear Solid V: The Phantom Pain,XOne,2015.0,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75,95.0,10.0,7.3,900.0,"Kojima Productions, Moby Dick Studio",M
2751,Rhythm Heaven: The Best+,3DS,2015.0,Misc,Nintendo,0.0,0.03,0.72,0.0,0.74,,,,,,
2759,Final Fantasy X/X-2 HD Remaster,PS4,2015.0,Role-Playing,Square Enix,0.29,0.27,0.06,0.11,0.74,,,,,,
2766,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015.0,Action,Square Enix,0.17,0.13,0.37,0.06,0.74,,,,,,
2780,NBA 2K16,PS3,2015.0,Sports,Take-Two Interactive,0.45,0.12,0.03,0.13,0.74,,,4.6,13.0,Visual Concepts,E
2815,LEGO Dimensions,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,80.0,53.0,7.1,65.0,Traveller's Tales,E10+
2848,Disney Infinity 3.0,PS4,2015.0,Action,Disney Interactive Studios,0.24,0.37,0.0,0.12,0.72,,,,,,
2851,The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,32.0,9.3,10665.0,CD Projekt Red Studio,M
2936,Minecraft: Story Mode,PS4,2015.0,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69,,,,,,
2944,Minecraft: Story Mode,PS3,2015.0,Adventure,Mojang,0.27,0.31,0.0,0.11,0.69,,,,,,
2954,Need for Speed (2015),XOne,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,,,,,,
3035,F1 2015,PS4,2015.0,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46.0,6.3,43.0,Codemasters,E
3084,LEGO Jurassic World,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,17.0,6.7,44.0,TT Games,E10+
3126,God of War III,PS4,2015.0,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65,,,,,,
3136,Metal Gear Solid V: The Phantom Pain,PS3,2015.0,Action,Konami Digital Entertainment,0.22,0.13,0.22,0.07,0.64,,,7.2,168.0,"Kojima Productions, Moby Dick Studio",M
3168,Evolve,XOne,2015.0,Shooter,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64,74.0,31.0,5.1,336.0,Turtle Rock Studios,M
3214,NHL 16,PS4,2015.0,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,28.0,5.5,157.0,"EA Sports, EA Canada",E10+
3230,LEGO Jurassic World,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.31,0.23,0.03,0.05,0.62,,,7.2,11.0,TT Games,E10+
3323,Dark Souls II,PS4,2015.0,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6,,,,,,
3401,WWE 2K16,XOne,2015.0,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75.0,Yuke's,T
3537,Just Dance 2016,WiiU,2015.0,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,7.0,6.9,11.0,Ubisoft,E10+
3550,Tales of Zestiria,PS3,2015.0,Role-Playing,Namco Bandai Games,0.05,0.07,0.42,0.02,0.56,,,8,47.0,"Namco Bandai Games, Bandai Namco Games",T
3556,Xenoblade Chronicles,3DS,2015.0,Role-Playing,Nintendo,0.27,0.14,0.12,0.04,0.56,,,,,,
3579,Minecraft: Story Mode,XOne,2015.0,Adventure,Mojang,0.3,0.21,0.0,0.05,0.56,,,,,,
3630,Guitar Hero Live,XOne,2015.0,Misc,Activision,0.3,0.2,0.0,0.05,0.55,81.0,21.0,5.1,69.0,FreeStyleGames,T
3645,Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75.0,30.0,7.7,284.0,Capcom,M
3647,LEGO Dimensions,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.17,0.3,0.0,0.09,0.55,,,6.4,18.0,,
3666,Star Wars Battlefront (2015),PC,2015.0,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55,,,,,,
3748,LEGO Dimensions,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0.0,0.05,0.53,62.0,5.0,6.5,29.0,Traveller's Tales,E10+
3791,StarCraft II: Legacy of the Void,PC,2015.0,Strategy,Activision,0.19,0.29,0.0,0.04,0.53,88.0,62.0,8.3,833.0,Blizzard Entertainment,T
3794,LEGO Dimensions,X360,2015.0,Action,Warner Bros. Interactive Entertainment,0.26,0.23,0.0,0.04,0.53,,,6.1,18.0,,
3840,LEGO Jurassic World,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,0.27,0.19,0.02,0.04,0.52,71.0,5.0,8.1,14.0,TT Games,E10+
3845,Rory McIlroy PGA Tour,PS4,2015.0,Action,Electronic Arts,0.18,0.25,0.0,0.08,0.52,61.0,33.0,3.7,78.0,EA Tiburon,E
3858,Kirby and the Rainbow Curse,WiiU,2015.0,Platform,Nintendo,0.22,0.13,0.12,0.04,0.52,73.0,72.0,8,227.0,HAL Labs,E
3925,WWE 2K16,PS3,2015.0,Sports,Take-Two Interactive,0.22,0.21,0.0,0.08,0.51,,,6,21.0,Yuke's,T
4016,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015.0,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,,,,,,
4069,Bravely Second: End Layer,3DS,2015.0,Role-Playing,Nintendo,0.17,0.1,0.18,0.03,0.49,81.0,70.0,7.4,103.0,Silicon Studio,T
4072,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015.0,Puzzle,Nintendo,0.06,0.07,0.34,0.01,0.48,,,,,,
4081,Mad Max (2015),XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0.0,0.04,0.48,,,,,,
4086,Skylanders: SuperChargers,WiiU,2015.0,Action,Activision,0.25,0.19,0.0,0.04,0.48,87.0,13.0,5.6,65.0,Vicarious Visions,E10+
4103,Dragon Ball: XenoVerse,PS3,2015.0,Fighting,Namco Bandai Games,0.16,0.13,0.14,0.06,0.48,,,7.1,62.0,Dimps Corporation,T
4117,NHL 16,XOne,2015.0,Sports,Electronic Arts,0.38,0.05,0.0,0.05,0.48,80.0,18.0,6,81.0,"EA Sports, EA Canada",E10+
4141,Rock Band 4,XOne,2015.0,Misc,Harmonix Music Systems,0.38,0.04,0.0,0.05,0.47,79.0,27.0,6.4,54.0,Harmonix Music Systems,T
4209,One Piece: Pirate Warriors 3,PS4,2015.0,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46,74.0,34.0,7.4,118.0,Omega Force,T
4258,Disney Infinity 3.0,WiiU,2015.0,Action,Disney Interactive Studios,0.21,0.21,0.0,0.04,0.46,,,,,,
4362,Disney Infinity 3.0,PS3,2015.0,Action,Disney Interactive Studios,0.16,0.21,0.0,0.07,0.45,,,,,,
4387,Mario Tennis Ultra Smash,WiiU,2015.0,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58.0,58.0,5.3,133.0,"Nintendo, Camelot Software Planning",E
4481,Borderlands: The Handsome Collection,XOne,2015.0,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04,0.43,80.0,11.0,7.8,119.0,Gearbox Software,M
4506,WWE 2K16,X360,2015.0,Sports,Take-Two Interactive,0.27,0.12,0.0,0.04,0.43,,,5.4,25.0,Yuke's,T
4531,Wolfenstein: The Old Blood,PS4,2015.0,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43,76.0,54.0,8,267.0,MachineGames,
4573,Skylanders: SuperChargers,X360,2015.0,Action,Activision,0.25,0.13,0.0,0.04,0.42,,,5.4,5.0,Vicarious Visions,E10+
4653,Animal Crossing: Amiibo Festival,WiiU,2015.0,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46.0,20.0,4.4,173.0,"Nintendo, Nd Cube",E
4681,Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,0.13,0.15,0.07,0.06,0.41,,,5.3,81.0,Visceral Games,M
4686,LEGO Dimensions,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0.0,0.04,0.41,80.0,12.0,6.9,27.0,Traveller's Tales,E10+
4722,God Eater 2: Rage Burst,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.03,0.37,0.01,0.41,,,8.1,16.0,Shift,T
4770,Tales of Zestiria,PS4,2015.0,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,72.0,59.0,6.8,315.0,Bandai Namco Games,T
4836,Pro Evolution Soccer 2016,PS3,2015.0,Sports,Konami Digital Entertainment,0.09,0.12,0.15,0.04,0.4,,,7.2,40.0,Konami,E
4857,Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,0.21,0.15,0.0,0.03,0.39,,,,,,
4879,Saints Row IV,PS4,2015.0,Action,Deep Silver,0.13,0.18,0.03,0.06,0.39,,,,,,
4886,Dishonored,PS4,2015.0,Action,Bethesda Softworks,0.12,0.2,0.02,0.06,0.39,,,,,,
4940,MLB 15: The Show,PS3,2015.0,Sports,Sony Computer Entertainment,0.31,0.01,0.0,0.07,0.39,,,8.2,6.0,SCEA San Diego Studios,E
4988,Rock Band 4,PS4,2015.0,Misc,Harmonix Music Systems,0.26,0.05,0.0,0.07,0.38,78.0,51.0,6.3,87.0,Harmonix Music Systems,T
5072,Farming Simulator 2015,PS3,2015.0,Simulation,Koch Media,0.11,0.2,0.0,0.06,0.37,,,,,,
5123,Destiny: The Taken King,PS3,2015.0,Shooter,Activision,0.17,0.11,0.02,0.06,0.37,,,5.5,81.0,Bungie,T
5124,Skylanders: SuperChargers,PS3,2015.0,Action,Activision,0.16,0.15,0.0,0.06,0.37,,,4.2,6.0,Vicarious Visions,E10+
5188,Sword Art Online: Lost Song,PSV,2015.0,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,4.0,7.1,27.0,"Bandai Namco Games, Artdink",T
5215,Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,Ubisoft,E10+
5255,Farming Simulator 2015,PS4,2015.0,Simulation,Koch Media,0.1,0.2,0.0,0.06,0.35,,,,,,
5261,Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.22,0.11,0.0,0.03,0.35,,,,,,
5295,Football Manager 2016,PC,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Sega,E
5309,Destiny: The Taken King,X360,2015.0,Shooter,Activision,0.24,0.08,0.0,0.03,0.35,,,4.4,59.0,"Bungie Software, Bungie",T
5403,Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,0.2,0.11,0.0,0.03,0.34,,,,,,
5420,Dead or Alive 5,PS4,2015.0,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34,,,,,,
5428,Disney Magic World 2,3DS,2015.0,Action,Nintendo,0.02,0.11,0.19,0.01,0.34,,,,,,
5502,Dragon Ball Z: Extreme Butoden,3DS,2015.0,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61.0,32.0,6.6,32.0,Arc System Works,T
5564,Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,Sega,0.16,0.04,0.1,0.02,0.32,80.0,32.0,8.5,71.0,Sega,E10+
5565,Just Dance 2016,XOne,2015.0,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32,66.0,10.0,6.1,18.0,Ubisoft,E10+
5583,Dragon Ball: XenoVerse,XOne,2015.0,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32,67.0,18.0,7.2,128.0,Dimps Corporation,T
5607,Just Dance 2016,X360,2015.0,Misc,Ubisoft,0.23,0.05,0.0,0.03,0.32,,,6,5.0,Ubisoft,E10+
5630,Persona 4: Dancing All Night,PSV,2015.0,Misc,Nippon Ichi Software,0.09,0.04,0.15,0.04,0.32,76.0,51.0,8.6,83.0,"Atlus, Dingo Inc.",T
5672,Rise of the Tomb Raider,X360,2015.0,Adventure,Square Enix,0.18,0.11,0.0,0.03,0.32,,,7.5,178.0,Nixxes Software,M
5746,Tropico 5,PS4,2015.0,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31,76.0,17.0,7.1,110.0,Haemimont,T
5753,Skylanders: SuperChargers,PS4,2015.0,Action,Activision,0.17,0.08,0.0,0.05,0.31,81.0,51.0,3.3,29.0,Vicarious Visions,E10+
5816,DmC: Devil May Cry,PS4,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31,,,,,,
5989,Deadpool,PS4,2015.0,Action,Activision,0.14,0.11,0.0,0.05,0.29,60.0,11.0,5.7,68.0,High Moon Studios,M
6014,Resident Evil: Revelations 2,PS3,2015.0,Action,Capcom,0.06,0.05,0.16,0.02,0.29,,,6.8,48.0,Capcom,M
6057,Disgaea 5: Alliance of Vengeance,PS4,2015.0,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29,80.0,43.0,8.1,173.0,Nippon Ichi Software,T
6095,Battlefield: Hardline,X360,2015.0,Shooter,Electronic Arts,0.17,0.09,0.0,0.03,0.28,,,4.1,65.0,Visceral Games,M
6114,Divinity: Original Sin,PS4,2015.0,Role-Playing,Focus Home Interactive,0.1,0.12,0.02,0.04,0.28,,,,,,
6173,Payday 2,PS4,2015.0,Shooter,505 Games,0.1,0.14,0.0,0.05,0.28,,,,,,
6281,Guitar Hero Live,PS3,2015.0,Misc,Activision,0.11,0.12,0.0,0.04,0.27,,,5.1,22.0,"Activision, FreeStyleGames",T
6323,Rory McIlroy PGA Tour,XOne,2015.0,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,26.0,4.3,77.0,EA Tiburon,E
6449,Tearaway Unfolded,PS4,2015.0,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26,81.0,70.0,8.1,188.0,Media Molecule,E
6462,J Stars Victory Vs.,PS4,2015.0,Fighting,Namco Bandai Games,0.08,0.14,0.0,0.04,0.26,,,,,,
6464,Call of Duty: Black Ops 3,PC,2015.0,Shooter,Activision,0.0,0.25,0.0,0.01,0.26,,,,,,
